UnitID,Institution Name,Total number of undergraduates - financial aid cohort (SFA2324),Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2324),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2324),Total amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2324),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2324),Number of undergraduate students awarded Federal Pell grants (SFA2324),Percent of undergraduate students awarded Federal Pell grants (SFA2324),Total amount of Federal Pell grant aid awarded to undergraduate students (SFA2324),Average amount Federal Pell grant aid awarded to undergraduate students (SFA2324),Number of undergraduate students awarded federal student loans (SFA2324),Percent of undergraduate students awarded federal student loans (SFA2324),Total amount of federal student loans awarded to undergraduate students (SFA2324),Average amount of federal student loans awarded to undergraduate students (SFA2324),Total number of undergraduates - financial aid cohort (SFA2223_RV),Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2223_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2223_RV),Total amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2223_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2223_RV),Number of undergraduate students awarded Federal Pell grants (SFA2223_RV),Percent of undergraduate students awarded Federal Pell grants (SFA2223_RV),Total amount of Federal Pell grant aid awarded to undergraduate students (SFA2223_RV),Average amount Federal Pell grant aid awarded to undergraduate students (SFA2223_RV),Number of undergraduate students awarded federal student loans (SFA2223_RV),Percent of undergraduate students awarded federal student loans (SFA2223_RV),Total amount of federal student loans awarded to undergraduate students (SFA2223_RV),Average amount of federal student loans awarded to undergraduate students (SFA2223_RV),Total number of undergraduates - financial aid cohort (SFA2122_RV),Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Total amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Number of undergraduate students awarded Pell grants (SFA2122_RV),Percent of undergraduate students awarded Pell grants (SFA2122_RV),Total amount of Pell grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Number of undergraduate students awarded federal student loans (SFA2122_RV),Percent of undergraduate students awarded federal student loans (SFA2122_RV),Total amount of federal student loans awarded to undergraduate students (SFA2122_RV),Average amount of federal student loans awarded to undergraduate students (SFA2122_RV),Total number of undergraduates - financial aid cohort (SFA2021_RV),Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2021_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2021_RV),Total amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2021_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2021_RV),Number of undergraduate students awarded Pell grants (SFA2021_RV),Percent of undergraduate students awarded Pell grants (SFA2021_RV),Total amount of Pell grant aid awarded to undergraduate students (SFA2021_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2021_RV),Number of undergraduate students awarded federal student loans (SFA2021_RV),Percent of undergraduate students awarded federal student loans (SFA2021_RV),Total amount of federal student loans awarded to undergraduate students (SFA2021_RV),Average amount of federal student loans awarded to undergraduate students (SFA2021_RV),
110404,California Institute of Technology,1023,607,59,35524994,58526,184,18,1057962,5750,44,4,273325,6212,982,597,61,31202765,52266,146,15,787621,5395,35,4,223226,6378,987,613,62,28893462,47135,138,14,668862,4847,39,4,244732,6275,901,545,60,23469715,43064,104,12,473926,4557,35,4,226667,6476,
198419,Duke University,6488,3465,53,195980660,56560,910,14,5276118,5798,885,14,4400419,4972,6640,3447,52,182704116,53004,846,13,4465616,5279,1083,16,5331189,4923,6883,3643,53,182666203,50142,841,12,4195485,4989,1174,17,5842437,4977,6717,3654,54,170738151,46726,882,13,4291445,4866,1109,17,5462492,4926,
162928,Johns Hopkins University,6090,4193,69,211143042,50356,1187,19,6898056,5811,567,9,3229062,5695,6044,3667,61,198341797,54088,1194,20,6331300,5303,692,11,4115578,5947,6132,3564,58,187366434,52572,1103,18,5548027,5030,656,11,3815099,5816,6331,3651,58,169587006,46449,1051,17,5252410,4998,524,8,3073281,5865,
166683,Massachusetts Institute of Technology,4576,2936,64,171546816,58429,884,19,5072049,5738,306,7,1799792,5882,4657,2980,64,165774345,55629,883,19,4792835,5428,306,7,1863909,6091,4638,3557,77,158009295,44422,855,18,4519391,5286,206,4,1283341,6230,4361,4358,100,148230621,34013,867,20,4307429,4968,293,7,1764887,6024,
147767,Northwestern University,9157,4768,52,282026898,59150,1699,19,9673770,5694,1564,17,9028591,5773,8993,4819,54,279148386,57927,1682,19,9366988,5569,1688,19,9854307,5838,8847,4780,54,255887406,53533,1615,18,8411313,5208,1642,19,9396762,5723,8559,4906,57,234985104,47897,1600,19,7832615,4895,1632,19,9394471,5756,
227757,Rice University,4574,2794,61,152106521,54440,779,17,4680171,6008,296,6,1835929,6202,4494,2845,63,143002276,50264,722,16,3933350,5448,281,6,1683246,5990,4247,2692,63,131793905,48958,706,17,3722946,5273,279,7,1600903,5738,4076,2612,64,120777099,46239,651,16,3295827,5063,294,7,1676950,5704,
243744,Stanford University,8054,5301,66,309836816,58449,1543,19,9024765,5849,499,6,2930498,5873,8049,4866,60,285573835,58688,1548,19,8508805,5497,506,6,2918325,5767,7645,4827,63,273870637,56737,1437,19,7286338,5071,427,6,2454052,5747,6366,4154,65,210864133,50762,1219,19,5830437,4783,274,4,1555382,5677,
110635,University of California-Berkeley,33078,19816,60,497211529,25091,9472,29,53310542,5628,5567,17,29949994,5380,32479,18629,57,428386093,22996,8876,27,46726067,5264,5922,18,32632404,5510,31814,18864,59,418781737,22200,8609,27,46878675,5445,5191,16,28018776,5398,30799,17627,57,371161296,21056,8377,27,45018213,5374,4560,15,25113509,5507,
110662,University of California-Los Angeles,33040,18256,55,427509988,23418,9330,28,60352515,6469,6202,19,35442446,5715,32423,17820,55,374349242,21007,8786,27,52500255,5975,6709,21,38552902,5746,32122,17537,55,373918223,21322,8732,27,49637331,5685,6615,21,38735728,5856,31636,17729,56,354474526,19994,8990,28,50553422,5623,3871,12,19450681,5025,
144050,University of Chicago,7643,3755,49,201580948,53683,1166,15,7051776,6048,359,5,2206774,6147,7595,3836,51,187090459,48772,1099,14,5880772,5351,384,5,2370485,6173,7636,4208,55,184875407,43934,988,13,4973008,5033,401,5,2369690,5909,7056,3832,54,170739894,44556,865,12,4270891,4937,398,6,2390668,6007,
170976,University of Michigan-Ann Arbor,33730,18336,54,459321399,25050,6116,18,36676326,5997,7995,24,48883967,6114,32695,16891,52,413462904,24478,5744,18,32062344,5582,6870,21,39118997,5694,32282,22636,70,375725800,16599,5697,18,29653790,5205,8288,26,52710041,6360,31329,18887,60,364982046,19325,5703,18,29124293,5107,8339,27,51862366,6219,
199120,University of North Carolina at Chapel Hill,20681,10416,50,171850112,16499,4144,20,24162704,5831,2705,13,13526152,5000,20029,10315,52,156838506,15205,4058,20,22207438,5473,3666,18,19919359,5434,19845,10312,52,172698315,16747,4210,21,22046758,5237,3615,18,19327639,5347,19395,10260,53,167736683,16349,4382,23,22470310,5128,3775,19,18995088,5032,
234076,University of Virginia-Main Campus,17612,8636,49,215463152,24949,2738,16,15611445,5702,3521,20,20870220,5927,17444,8449,48,202545437,23973,2515,14,13310943,5293,3709,21,22011798,5935,17299,7747,45,185840747,23989,2343,14,11382890,4858,3546,20,21311898,6010,17314,8647,50,178786274,20676,2456,14,11506800,4685,3896,23,22905364,5879,
221999,Vanderbilt University,7152,4843,68,284281432,58699,1446,20,8027548,5552,684,10,4183995,6117,7151,4716,66,251528799,53335,1324,19,6832894,5161,751,11,4598296,6123,7111,4667,66,228946135,49056,1183,17,5757665,4867,706,10,4182764,5925,7057,4617,65,209345532,45342,1131,16,5308311,4693,765,11,4497546,5879,